variant,seed,epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
P01_rsbfilm_no_Pcyc,1,1,0.20287443593144416,0.15500655655677503,0.9566805791854859,0.9844468832015991
P01_rsbfilm_no_Pcyc,1,2,0.10923937752842904,0.06336260529664847,0.9321247231960297,0.9681528210639954
P01_rsbfilm_no_Pcyc,1,3,0.027531373910605908,0.012236854921166714,0.9237953776121139,0.9982454180717468
P01_rsbfilm_no_Pcyc,1,4,0.012099793469533325,0.012158578691574244,0.9379594981670379,0.9986251592636108
P01_rsbfilm_no_Pcyc,1,5,0.012072952683083712,0.012071655203516666,0.9406466728448868,0.998353898525238
P01_rsbfilm_no_Pcyc,1,6,0.01205984629690647,0.01218732686426777,0.9395010185241699,0.9983538389205933
P01_rsbfilm_no_Pcyc,1,7,0.012128938771784305,0.012032934930175543,0.9400140756368637,0.9985708594322205
P01_rsbfilm_no_Pcyc,1,8,0.012063373094424606,0.012218399295726648,0.9390767568349838,0.9986793994903564
P01_rsbfilm_no_Pcyc,1,9,0.01211832595989108,0.012105686267694602,0.9410040193796158,0.998245358467102
P01_rsbfilm_no_Pcyc,1,10,0.012108852788805961,0.012113199640925113,0.9376685166358948,0.998371958732605
P01_rsbfilm_no_Pcyc,1,11,0.01210121100768447,0.012036674226132723,0.9407833862304688,0.9980826377868652
P01_rsbfilm_no_Pcyc,1,12,0.012065639444626868,0.012229086687931648,0.9418912428617477,0.997992217540741
P01_rsbfilm_no_Pcyc,1,13,0.01215575949754566,0.012151396009497918,0.9385533934831619,0.9984081387519836
P01_rsbfilm_no_Pcyc,1,14,0.012122576599940657,0.012056404509796547,0.9399844151735306,0.9985346794128418
P01_rsbfilm_no_Pcyc,1,15,0.012076096497476102,0.012185654674585048,0.937380428314209,0.9982995986938477
P01_rsbfilm_no_Pcyc,1,16,0.012134639164432883,0.012070105876773596,0.9410157757997513,0.9981911182403564
P01_rsbfilm_no_Pcyc,1,17,0.012141862520948052,0.012164473354529876,0.9414754867553711,0.9982272982597351
