epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
1,0.1175217367708683,0.032730625655788645,1.4205569672584533,4.1489763259887695
2,0.022187642473727464,0.01864156463684944,1.615146432220936,2.7091236114501953
3,0.016549415420740843,0.013823354831681801,2.201138540506363,2.947697162628174
4,0.014594241306185722,0.013138242853948703,2.3926200139522553,2.919938087463379
5,0.013642250373959542,0.011955231213225769,2.4349470496177674,2.973865270614624
6,0.012945529408752918,0.011419686560447399,2.514272243976593,2.9719183444976807
7,0.012359070796519519,0.010504239453719212,2.526663280725479,2.9426817893981934
8,0.011781772766262293,0.009932534052775456,2.49942599773407,2.9137511253356934
9,0.011178745152428747,0.011121007327276927,2.4763204789161684,2.8405025005340576
10,0.010428028497844934,0.00881617244046468,2.4855347430706023,2.8920130729675293
11,0.009919929555617274,0.008966113763073316,2.460452803373337,2.9452648162841797
12,0.00978503305464983,0.007942183480526391,2.397500145435333,2.9536638259887695
13,0.009810849921777845,0.008722508899294414,2.3236712789535523,3.0019242763519287
14,0.009174556280486286,0.007921548237880835,2.37406245470047,2.822382688522339
15,0.009035572255961598,0.00821692098935063,2.405553432703018,2.7966036796569824
16,0.008799005029723049,0.008674323093146086,2.3622854113578797,2.793344259262085
17,0.008868493153713644,0.00706688676459285,2.355966656208038,2.9940171241760254
18,0.008424231931567192,0.007204862275662331,2.312100474834442,2.763946533203125
19,0.008352605774998665,0.0067708238672751645,2.327444336414337,2.6968138217926025
20,0.00811428197659552,0.0074891832012396594,2.3012333512306213,2.7043681144714355
21,0.007916289833374321,0.00680677592754364,2.3472663712501527,2.692835569381714
22,0.007897649467922747,0.006993805738882377,2.320874670743942,2.61970853805542
23,0.007795080221258104,0.006806171785753507,2.2956053853034972,2.663670539855957
24,0.007565302536822856,0.0065121079365221355,2.264098345041275,2.612562656402588
25,0.007677521058358252,0.006248424796817394,2.203687455654144,2.5940802097320557
26,0.0073620818741619585,0.006660952340238369,2.1885723173618317,2.562467575073242
27,0.007443298208527267,0.006766812195285008,2.2101122027635576,2.5744147300720215
28,0.007150176893919707,0.005970603499848109,2.1685488760471343,2.54793119430542
29,0.007110127988271415,0.006002763787714334,2.0970410096645353,2.5055489540100098
30,0.007071968074887991,0.00636970832084234,2.1171483147144317,2.491197347640991
31,0.006876980485394597,0.005990136522226608,2.142799825668335,2.4687752723693848
32,0.006948658591136336,0.005866265210967798,2.1096783828735353,2.5995867252349854
33,0.006634350796230137,0.005735507736412378,2.120283912420273,2.451709508895874
34,0.008075495008379221,0.007591044136251395,2.0298360750079154,2.5635812282562256
35,0.008239544983953238,0.005710644253457968,2.1491252225637436,2.6208646297454834
36,0.00681038508657366,0.005795887384850245,1.6499423122406005,2.792905330657959
37,0.006210025260224938,0.006924437215695014,2.0459367382526397,2.3797686100006104
38,0.006139901280403137,0.0069936287875932,2.049586058855057,2.332909107208252
39,0.006119029694236815,0.0070148178089696625,1.949825232028961,2.359987735748291
40,0.006007089880295097,0.006990164840737214,2.023071285486221,2.3488988876342773
41,0.005908049498684704,0.006282717634278994,2.018065561056137,2.3543872833251953
42,0.0058834007615223526,0.006385860176613698,2.0257844591140746,2.313814878463745
43,0.00585165811702609,0.006980468805592794,1.9816685473918916,2.371473550796509
44,0.005851004682481289,0.006493868592839975,2.06105721950531,2.3258872032165527
45,0.005660505047999322,0.006329081773471374,2.0597339308261873,2.299180507659912
46,0.005653262431733311,0.006216813666889301,2.0600754380226136,2.3072521686553955
47,0.005552446437068283,0.006244712365934482,2.0838773226737977,2.3209333419799805
48,0.005559658021666109,0.006132865933558116,2.082952482700348,2.3268959522247314
49,0.0054786531394347545,0.0060967062241756,2.0609736156463625,2.335951328277588
50,0.005417634411714971,0.006329141199015654,2.077987768650055,2.3023412227630615
