variant,description,NMSE,PSNR,SSIM,runtime_per_sample,speedup_vs_BP,peak_GPU_memory,num_test_samples
S01_ref3,No learning: ref3 physical reconstruction directly.,5.710650636755361,23.651967461995437,0.19061599109972213,0.0,not_applicable,139.63 MB,24
S02_plain_residual_unet,Residual 3D U-Net with X_ref3 only.,6.3883439497256775,23.10867671438341,0.09005789904033329,0.0017139506662715576,1151.7372602400744,139.63 MB,24
S03_concat_Mshell,"Residual 3D U-Net with [X_ref3, Mshell].",31.70182440053975,15.821318683525154,0.001341314375087611,0.0009498204996513474,2078.3093703314066,139.63 MB,24
S04_concat_Mshell_delta,"Residual 3D U-Net with [X_ref3, Mshell, delta_rho].",5.431606163338542,23.860425855536743,0.20011829828036434,0.001031804333403367,1913.173632491949,139.63 MB,24
S05_concat_Mshell_delta_Pcyc,"Residual 3D U-Net with [X_ref3, Mshell, delta_rho, Pcyc].",28.853263289964044,16.191248900164116,0.0014788602410576984,0.0010360197084082756,1905.3892783479075,139.63 MB,24
S06_geometry_branch_bottleneck_concat,Image branch plus geometry branch with bottleneck concat.,4.616204719275416,24.37594512171079,0.20329895854789057,0.0014936688747487399,1321.5920060530934,139.63 MB,24
S07_generic_film_middeep,Geometry branch plus generic FiLM at available mid/deep stages.,4.714874829046213,23.961371525664646,0.07842982814274115,0.0021479393741780464,919.0300565692893,139.63 MB,24
S08_rsbfilm_middeep_default,Geometry branch plus RSB-FiLM envelope and bounded gamma/beta.,4.621802663392379,24.03620726800376,0.08076422709994625,0.0018928930420164154,1042.8591583048012,139.63 MB,24
