variant,bin,num_regions,NMSE,SSIM,MAE
S01_ref3,abs_pcyc_gt_0p25,24,0.41835530261383386,0.831679920560977,0.49266382306814194
S01_ref3,abs_pcyc_le_0p25,24,0.43206682758114867,0.8323724283959054,0.509501558283101
S01_ref3,large,24,0.43221054995629826,0.8726801099549192,0.5059092420598735
S01_ref3,medium,24,0.39986802513432584,0.884496462782205,0.47933162360087683
S01_ref3,small,24,0.44085447831570684,0.8418882036790638,0.5231603346765041
S02_plain_residual_unet,abs_pcyc_gt_0p25,24,0.3970569699846278,0.8408529901914311,0.4794549246629079
S02_plain_residual_unet,abs_pcyc_le_0p25,24,0.41206535988037557,0.8405917255153434,0.4972672436548316
S02_plain_residual_unet,large,24,0.4097379018797916,0.8796833154897122,0.4919793217078499
S02_plain_residual_unet,medium,24,0.3802564742040337,0.8903888834601631,0.4670107021279957
S02_plain_residual_unet,small,24,0.420458593670356,0.8495769889613071,0.5105988544722398
S03_concat_Mshell,abs_pcyc_gt_0p25,24,0.9553494822008973,0.602635742757924,0.8045430158575376
S03_concat_Mshell,abs_pcyc_le_0p25,24,0.9377752227255488,0.6429438901070842,0.7947186957234922
S03_concat_Mshell,large,24,0.9548586245014373,0.717618048576532,0.8086034137269725
S03_concat_Mshell,medium,24,0.9332872322579533,0.7288036720948885,0.7890333377796671
S03_concat_Mshell,small,24,0.9414794445159371,0.6614531528835,0.8070027455687523
S04_concat_Mshell_delta,abs_pcyc_gt_0p25,24,0.4279426882440383,0.8274954460878785,0.4996615871787071
S04_concat_Mshell_delta,abs_pcyc_le_0p25,24,0.4474444919513472,0.8258579892615178,0.5190695679706075
S04_concat_Mshell_delta,large,24,0.44225364739747797,0.8695862675163473,0.5135832377102064
S04_concat_Mshell_delta,medium,24,0.4079538538672213,0.8815764510577203,0.483729402008264
S04_concat_Mshell_delta,small,24,0.45627322309262536,0.8355923883368847,0.5334135815501213
S05_concat_Mshell_delta_Pcyc,abs_pcyc_gt_0p25,24,0.9888316045997615,0.5945434203725416,0.8222408865888914
S05_concat_Mshell_delta_Pcyc,abs_pcyc_le_0p25,24,0.978501715797211,0.6328487235476029,0.8158763284268586
S05_concat_Mshell_delta_Pcyc,large,24,0.9918230678009361,0.7122289607172033,0.8273817845012831
S05_concat_Mshell_delta_Pcyc,medium,24,0.9881529801775882,0.7224352278254741,0.8196165328440459
S05_concat_Mshell_delta_Pcyc,small,24,0.9762783116918397,0.6525133853354576,0.8247768779595693
S06_geometry_branch_bottleneck_concat,abs_pcyc_gt_0p25,24,0.4817371644584862,0.8053378907905585,0.541118860244751
S06_geometry_branch_bottleneck_concat,abs_pcyc_le_0p25,24,0.49480160737020484,0.8083156511438503,0.5529636896174887
S06_geometry_branch_bottleneck_concat,large,24,0.4950785378217281,0.8543236970994217,0.5539332045161206
S06_geometry_branch_bottleneck_concat,medium,24,0.4597261662676324,0.8665512087974937,0.520563428816588
S06_geometry_branch_bottleneck_concat,small,24,0.5036710484874286,0.8191771621310373,0.5683599623541037
S07_generic_film_middeep,abs_pcyc_gt_0p25,24,0.5907188282721662,0.7567178102952147,0.6088262535631657
S07_generic_film_middeep,abs_pcyc_le_0p25,24,0.6087960633277993,0.7616849430353847,0.6202835116697394
S07_generic_film_middeep,large,24,0.6078269712109907,0.8186731443470647,0.6232782084008922
S07_generic_film_middeep,medium,24,0.5658912675500041,0.8340667346647845,0.586334034152653
S07_generic_film_middeep,small,24,0.6186667895522416,0.7751500313119758,0.6362772223850092
S08_rsbfilm_middeep_default,abs_pcyc_gt_0p25,24,0.5966195556838443,0.7541892481520186,0.612416555484136
S08_rsbfilm_middeep_default,abs_pcyc_le_0p25,24,0.6144910823567793,0.7595274082922714,0.6236654299756755
S08_rsbfilm_middeep_default,large,24,0.6136706935864764,0.8169040762845429,0.6268589690975521
S08_rsbfilm_middeep_default,medium,24,0.5717115967711054,0.8323485527572613,0.5899936932584514
S08_rsbfilm_middeep_default,small,24,0.6242787321098299,0.7731171441966699,0.6395506809155146
