variant,family,num_regions,NMSE,PSNR,SSIM
S01_ref3,L-shape,4,3.4279203859362903,21.980319252565486,0.13337871656389919
S01_ref3,cross,4,4.49604828057756,23.73952055738357,0.20401593028925608
S01_ref3,double-line,4,1.7631755301297025,25.079562437411255,0.28974376773589494
S01_ref3,line,4,7.703322258039893,23.152213759552566,0.17481673099171086
S01_ref3,point_cluster,4,12.169522957009063,23.779740215620684,0.1360254273662506
S01_ref3,small_rect_edge,4,4.70391440883965,24.180448549439024,0.2057153736513211
S02_plain_residual_unet,L-shape,4,3.7695669676368366,21.554582749627414,0.07099543809192994
S02_plain_residual_unet,cross,4,5.042409180563224,23.18850990998905,0.09815900540962244
S02_plain_residual_unet,double-line,4,2.0163129362755274,24.47135295862589,0.1453230439489798
S02_plain_residual_unet,line,4,8.473759247272639,22.649590558356596,0.08090403978611982
S02_plain_residual_unet,point_cluster,4,13.795840700835662,23.1766724738628,0.05457479914745777
S02_plain_residual_unet,small_rect_edge,4,5.232174665770186,23.61135163583872,0.09039106785788993
S03_concat_Mshell,L-shape,4,13.52784675092184,15.87212376532798,0.0014562846451190354
S03_concat_Mshell,cross,4,23.84655470792682,16.02229268520812,0.0014637869302281444
S03_concat_Mshell,double-line,4,17.152797174676568,15.910620700228229,0.0013192132309506723
S03_concat_Mshell,line,4,33.69126526316025,15.77656045164297,0.0014957161865233404
S03_concat_Mshell,point_cluster,4,75.80453526812997,15.674326269122659,0.001049688247465249
S03_concat_Mshell,small_rect_edge,4,26.187947238423057,15.671988229620968,0.0012631970102392242
S04_concat_Mshell_delta,L-shape,4,3.239138798444691,22.22209527608846,0.14227213244077952
S04_concat_Mshell_delta,cross,4,4.3009791670853,23.941956624508254,0.21583865580472147
S04_concat_Mshell_delta,double-line,4,1.6796954472791785,25.27427918836303,0.30104858436863136
S04_concat_Mshell_delta,line,4,7.28498239076054,23.388904620005807,0.18343177876614417
S04_concat_Mshell_delta,point_cluster,4,11.593325036672548,23.976337060704488,0.14365540223328369
S04_concat_Mshell_delta,small_rect_edge,4,4.491516139788992,24.35898236355042,0.2144632360686259
S05_concat_Mshell_delta_Pcyc,L-shape,4,12.499412473442,16.223795835896613,0.001677806758813335
S05_concat_Mshell_delta_Pcyc,cross,4,22.064593149931632,16.316420377480306,0.001566533034125879
S05_concat_Mshell_delta_Pcyc,double-line,4,15.241160627292528,16.29784139227346,0.0015686422281226341
S05_concat_Mshell_delta_Pcyc,line,4,31.128665824784058,16.111601643936527,0.0014491959293717602
S05_concat_Mshell_delta_Pcyc,point_cluster,4,68.55796136931326,16.056678258237927,0.0011450884697067028
S05_concat_Mshell_delta_Pcyc,small_rect_edge,4,23.627786295020783,16.141155893159862,0.001465895026205879
S06_geometry_branch_bottleneck_concat,L-shape,4,2.8646776193652754,22.72751522576167,0.14638678379822254
S06_geometry_branch_bottleneck_concat,cross,4,3.6071263534645053,24.557228662123627,0.2263344430110128
S06_geometry_branch_bottleneck_concat,double-line,4,1.6064520300789173,25.446082882901862,0.2908588397364117
S06_geometry_branch_bottleneck_concat,line,4,6.1302032882579445,23.956868139925874,0.18652473586521606
S06_geometry_branch_bottleneck_concat,point_cluster,4,9.645867492135652,24.736801748914786,0.1579993676155939
S06_geometry_branch_bottleneck_concat,small_rect_edge,4,3.842901532350201,24.831174070636905,0.21168958126088633
S07_generic_film_middeep,L-shape,4,2.800469641526768,22.75037731946788,0.06892869853397096
S07_generic_film_middeep,cross,4,3.639533957906343,24.242048034463558,0.09688441883833063
S07_generic_film_middeep,double-line,4,2.092024808867234,24.294618148632782,0.10071850358594801
S07_generic_film_middeep,line,4,5.881964764695123,23.73269736525485,0.07270828982940541
S07_generic_film_middeep,point_cluster,4,9.885865706420695,24.527961614288053,0.060395100491399484
S07_generic_film_middeep,small_rect_edge,4,3.989390094861114,24.220526671880723,0.0709439575773924
S08_rsbfilm_middeep_default,L-shape,4,2.755446071773173,22.81933317957029,0.07074905523585472
S08_rsbfilm_middeep_default,cross,4,3.567458845594073,24.320180598379277,0.09973520586912724
S08_rsbfilm_middeep_default,double-line,4,2.0661976270659728,24.34723933689161,0.1031629188101177
S08_rsbfilm_middeep_default,line,4,5.7599911078281325,23.814449275948313,0.07500623808606767
S08_rsbfilm_middeep_default,point_cluster,4,9.663442212512589,24.625025913269084,0.06284990630642306
S08_rsbfilm_middeep_default,small_rect_edge,4,3.9182801155803375,24.291015303964,0.07308203829208708
