variant,boundary_band_m,num_regions,NMSE,SSIM,MAE
S01_ref3,0.01,24,0.41404030090144217,0.8835783405511496,0.5319923907518387
S02_plain_residual_unet,0.01,24,0.39534318576513083,0.8894072795488295,0.5199557163498618
S03_concat_Mshell,0.01,24,0.9456857896675938,0.7382867363470961,0.8611073764887723
S04_concat_Mshell_delta,0.01,24,0.4222383029798864,0.8799501221826959,0.5357411341233687
S05_concat_Mshell_delta_Pcyc,0.01,24,0.9893562140235518,0.7254225852877597,0.8865227590907704
S06_geometry_branch_bottleneck_concat,0.01,24,0.48060026406900014,0.8645842847273978,0.584356427192688
S07_generic_film_middeep,0.01,24,0.5966798986794687,0.8328767001883205,0.6599034341898832
S08_rsbfilm_middeep_default,0.01,24,0.6030483938847223,0.8311281003060248,0.6640434888276187
