table_method,method,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample,network_runtime_per_sample,end_to_end_runtime_per_sample,source
T01_BP,BP,0,line_test_0019,line,1.944866785959768,26.412190336367185,0.39841343726598694,0.005987673066556454,1.3921078138519078,,1.3921078138519078,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0000,cross,1.7264806859270985,29.808747420927407,0.5272825309380964,0.00432583736255765,1.2934925220906734,,1.2934925220906734,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0001,cross,0.9765947373231915,26.60353057655147,0.4986146622766269,0.008078200742602348,1.8150647501461208,,1.8150647501461208,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0002,cross,2.712024860070347,26.03205143474635,0.3450692631999127,0.007192931603640318,1.3667787848971784,,1.3667787848971784,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0003,cross,1.1262318499480573,27.116622924127544,0.46380922301818084,0.00764435576274991,2.2030857298523188,,2.2030857298523188,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0004,cross,1.4172368045896482,26.351265234164423,0.4164914252310394,0.008422375656664371,1.87156589794904,,1.87156589794904,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0005,cross,2.3959902154876236,27.369861497850753,0.3694154084104873,0.0066358125768601894,1.3766822710167617,,1.3766822710167617,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0006,cross,1.4682417113676858,27.052267110082738,0.5020483461888564,0.004929328337311745,1.482805890031159,,1.482805890031159,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0007,cross,2.6971494167192382,29.622274626857653,0.5210139456696218,0.0038660061545670033,1.6382140030618757,,1.6382140030618757,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,cross_test_0008,cross,1.0897138250022484,27.592909461376287,0.5008613509824359,0.006425606552511454,1.3110892449039966,,1.3110892449039966,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
