variant,seed,NMSE,PSNR,SSIM,MAE,runtime_per_sample,speedup_vs_BP,parameter_count,peak_gpu_memory_mb,best_epoch
P00_rsbfilm_scalar_Pcyc,0,0.9987491585084508,30.161325828586246,0.48068896606357464,0.0016165998333599418,0.0023826742498204113,,36177,150.79248046875,50
P00_rsbfilm_scalar_Pcyc,1,0.9907775080948601,30.196349314106357,0.4885330261020058,0.0019024009761051276,0.0019686758998432195,,36177,150.79248046875,46
P00_rsbfilm_scalar_Pcyc,2,1.0405450619860133,29.9881341794519,0.4783055508820581,0.0029772789613343774,0.0019545399396156426,,36177,150.79248046875,40
P01_rsbfilm_no_Pcyc,0,0.9866268890042916,30.21484810647584,0.4933121766704644,0.002674623547354713,0.0019337787704716903,,36069,150.369140625,47
P01_rsbfilm_no_Pcyc,1,5.996904578914275,23.797410118963434,0.185201609568386,0.012322315203491599,0.0019321487697015983,,36069,150.369140625,7
P01_rsbfilm_no_Pcyc,2,0.993146785993092,30.185739816663016,0.4822799906552676,0.0015200961695518345,0.0019595391799521167,,36069,150.369140625,45
P02_rsbfilm_sincos_Pcyc,0,1.021517791849399,30.065054877953926,0.48100904364682384,0.0023390589747577907,0.0019625695403374267,,36285,151.2158203125,49
P02_rsbfilm_sincos_Pcyc,1,0.9997749798983502,30.15692553523127,0.47988567437701507,0.00158712290256517,0.002354885560052935,,36285,151.2158203125,44
P02_rsbfilm_sincos_Pcyc,2,0.9940525497486883,30.181853488471358,0.48390966811070313,0.0016773994729737752,0.0019010138700832613,,36285,151.2158203125,49
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,0.9973802277166925,30.167253082219563,0.48034306481038525,0.001547408742189873,0.0019475987495388835,,36393,151.6376953125,48
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,0.9966389246845664,30.171237331790717,0.48849559072913273,0.002042244045296684,0.0019129081601568032,,36393,151.6376953125,44
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,5.997327066854171,23.797108989585887,0.18508575074227726,0.012331441231071948,0.001906414310215041,,36393,151.6376953125,5
P04_generic_film_scalar_Pcyc,0,0.9970730730837218,30.16862033625252,0.48245031729750143,0.0017695869421004318,0.0017807800293667241,,36177,150.62060546875,47
P04_generic_film_scalar_Pcyc,1,0.9922608719257535,30.190353951338526,0.4915684451352027,0.0022370326839154585,0.0018126502408995293,,36177,150.62060546875,50
P04_generic_film_scalar_Pcyc,2,1.031011839992741,30.029521250010266,0.4842243638764655,0.00255453925114125,0.0018187544604006689,,36177,150.62060546875,49
P05_generic_film_sincos_Pcyc,0,1.0287049842591904,30.035839699893288,0.48047921526622356,0.0026232815964613108,0.0018138840098981745,,36285,151.0439453125,42
P05_generic_film_sincos_Pcyc,1,0.9924152917544308,30.189068482692555,0.48415324347936844,0.0015858170166029595,0.001821861049393192,,36285,151.0439453125,49
P05_generic_film_sincos_Pcyc,2,0.9870323239514434,30.212715535881642,0.4889148233343761,0.0017746033694129436,0.0018317927794123535,,36285,151.0439453125,49
P06_concat_scalar_plus_sincos_Pcyc,0,0.9915402007704572,30.192918442523922,0.48701651914517646,0.001872046641074121,0.0009699477005051449,,22113,24.72802734375,46
P06_concat_scalar_plus_sincos_Pcyc,1,1.3886186364150035,29.025139307110955,0.4371046193187707,0.0045855175470933315,0.0009778563588042743,,22113,24.72802734375,35
P06_concat_scalar_plus_sincos_Pcyc,2,2.8006646398220094,26.72607232331066,0.3415978571577415,0.006070078806951642,0.0009840214099676814,,22113,24.72802734375,46
