variant,seed,n,support_masked_NMSE,foreground_MAE,background_MAE,high_delta_rho_support_NMSE,high_Pcyc_support_NMSE
P00_rsbfilm_scalar_Pcyc,0,100,0.9958254604295896,0.8318595391511917,0.00018736339596216566,0.9966774222675389,0.9956076622430046
P00_rsbfilm_scalar_Pcyc,1,100,0.9825992212396604,0.8261917334794998,0.00048387002578238026,0.9843129327886878,0.9829631298603068
P00_rsbfilm_scalar_Pcyc,2,100,0.9854857265094821,0.8273360317945481,0.001559565768111497,0.9867798771241649,0.9853229370603042
P01_rsbfilm_no_Pcyc,0,100,0.9729314985124564,0.8220664435625076,0.0012634703458752484,0.9749388891529495,0.9723010075195009
P01_rsbfilm_no_Pcyc,1,100,0.4420027003641808,0.5185563619434833,0.011413864390924573,0.4860168970039862,0.43499748171389946
P01_rsbfilm_no_Pcyc,2,100,0.9921342771162587,0.8303309732675552,9.353109087896883e-05,0.9933558370350848,0.9926258803892628
P02_rsbfilm_sincos_Pcyc,0,100,0.989464091783558,0.8291516995429993,0.0009154068370116875,0.9897568155536305,0.9895429809954696
P02_rsbfilm_sincos_Pcyc,1,100,0.9971703549168314,0.8324582368135452,0.0001568786111602094,0.9973637602407994,0.9971026254728081
P02_rsbfilm_sincos_Pcyc,2,100,0.9898873885045772,0.8293638324737549,0.0002526750274410006,0.9902842900720188,0.9901150863917079
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,100,0.9961949592521158,0.8320316368341446,0.00011783191403083037,0.9965097644667406,0.9965313697173657
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,100,0.9806574986551818,0.8252984964847565,0.0006255772837903351,0.98097974132584,0.9819567978936771
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,100,0.44198096476508303,0.5185420945286751,0.011423031149897725,0.48599325740068977,0.4349759020092897
P04_generic_film_scalar_Pcyc,0,100,0.9946832730708709,0.831366001367569,0.0003413828354678117,0.9954077636785454,0.9941491212783251
P04_generic_film_scalar_Pcyc,1,100,0.9769567754765646,0.8236731880903244,0.0008244699469651096,0.9797208688463626,0.9770148299079133
P04_generic_film_scalar_Pcyc,2,100,0.9766031962173685,0.8234391814470291,0.0011435604421421886,0.9795759258103736,0.9760947223458684
P05_generic_film_sincos_Pcyc,0,100,0.9871530771809502,0.8281395113468171,0.0012023094709729776,0.9877182388622301,0.9865392322012093
P05_generic_film_sincos_Pcyc,1,100,0.9885620334679639,0.8287708979845047,0.0001621454965788871,0.9900149794495607,0.9883528221904804
P05_generic_film_sincos_Pcyc,2,100,0.9808824948641762,0.8254567670822144,0.0003566011396469548,0.982529927238904,0.9802500020497569
P06_concat_scalar_plus_sincos_Pcyc,0,100,0.9852293124385426,0.8273502880334854,0.0004507596921757795,0.9861156734848235,0.9846990629284512
P06_concat_scalar_plus_sincos_Pcyc,1,100,0.8699880225343233,0.7713988000154495,0.0032493205671198667,0.900679053338013,0.8637205854204077
P06_concat_scalar_plus_sincos_Pcyc,2,100,0.6714044658779135,0.6607072976231575,0.004908822556317318,0.7218353568652287,0.6631671981534527
