ood_split,dataset_dir,variant,seed,NMSE_mean,PSNR_mean,SSIM_mean,MAE_mean,runtime_with_ref3_per_sample_mean,num_samples,status
Leave-One-Family-Out OOD,leave_one_family_out_ood,P00_rsbfilm_scalar_Pcyc,0,0.9998049322736706,31.492265985419706,0.5595455122731943,0.0011573962878901512,0.39348501119136925,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P00_rsbfilm_scalar_Pcyc,1,0.9960175143363,31.508842519317792,0.564946420029034,0.0015720664930995553,0.39235657154160436,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P00_rsbfilm_scalar_Pcyc,2,1.0422500526566527,31.3121395094589,0.5509504069448267,0.0026801479421555995,0.3923544066914474,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P01_rsbfilm_no_Pcyc,0,0.9915077228258398,31.52862119193771,0.5662564545226467,0.0023330965323839336,0.3923522503310232,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P01_rsbfilm_no_Pcyc,1,6.704712411505446,23.634795914512086,0.1299640843619072,0.014702605698257685,0.3923524786501366,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P01_rsbfilm_no_Pcyc,2,0.9947104502314407,31.514453464789145,0.560962996138988,0.001078181011835113,0.39278680432063995,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P02_rsbfilm_sincos_Pcyc,0,1.0231430094738883,31.39224071372338,0.5579513950717712,0.002052142003085464,0.39239495446017825,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P02_rsbfilm_sincos_Pcyc,1,0.9990171995569475,31.495714123774956,0.5593136081957888,0.0011094792850781232,0.392372731550422,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P02_rsbfilm_sincos_Pcyc,2,0.9977403036189827,31.50130121427268,0.5621062073428713,0.0012981047964422032,0.39235958608187504,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P03_rsbfilm_scalar_plus_sincos_Pcyc,0,0.997443551447855,31.502534809789978,0.5597400797825347,0.0010801366926170885,0.39239228378180996,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P03_rsbfilm_scalar_plus_sincos_Pcyc,1,1.002444472104544,31.4811035931679,0.564833201017309,0.0017860726441722363,0.3923586994811194,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P03_rsbfilm_scalar_plus_sincos_Pcyc,2,6.705298927662553,23.634409954995895,0.1298676463202032,0.014711938905529678,0.392368283020478,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P04_generic_film_scalar_Pcyc,0,0.9964892959122155,31.506701773537866,0.562062850588232,0.0013529099570587276,0.392241509011219,100,evaluated
Leave-One-Family-Out OOD,leave_one_family_out_ood,P04_generic_film_scalar_Pcyc,1,0.9988781054265,31.496738812347235,0.5659392772167706,0.0019274191826116295,0.392247653981467,100,evaluated
