variant,seed,family,n,NMSE,PSNR,SSIM
P00_rsbfilm_scalar_Pcyc,0,L-shape,20,0.9968461129487716,28.306980245884574,0.37513141135755596
P00_rsbfilm_scalar_Pcyc,0,cross,15,0.9967739142273403,29.987424313805594,0.46976348347750757
P00_rsbfilm_scalar_Pcyc,0,double-line,15,0.9975469426367138,27.409138970781225,0.3261998493190081
P00_rsbfilm_scalar_Pcyc,0,line,20,0.9996441929860207,30.670814847107742,0.5072832533904601
P00_rsbfilm_scalar_Pcyc,0,point_cluster,20,1.0031260646895281,33.979841986313815,0.6992471821504097
P00_rsbfilm_scalar_Pcyc,0,small_rect_edge,10,0.9967775585397854,29.603139200369917,0.4496209676441212
P00_rsbfilm_scalar_Pcyc,1,L-shape,20,0.9861044033895011,28.354049669887406,0.38554385221042126
P00_rsbfilm_scalar_Pcyc,1,cross,15,0.9859679430989547,30.03483124509081,0.4794081815238946
P00_rsbfilm_scalar_Pcyc,1,double-line,15,0.9865415029987743,27.457366323864672,0.3376050846812274
P00_rsbfilm_scalar_Pcyc,1,line,20,0.9883447638559169,30.720311339359046,0.5154072315401177
P00_rsbfilm_scalar_Pcyc,1,point_cluster,20,1.0050209894436095,33.971953764553874,0.7006976781097229
P00_rsbfilm_scalar_Pcyc,1,small_rect_edge,10,0.9900705984239538,29.63256724002966,0.45651283799185166
P00_rsbfilm_scalar_Pcyc,2,L-shape,20,1.0139565693428207,28.233795935152482,0.3825814679995499
P00_rsbfilm_scalar_Pcyc,2,cross,15,1.0278653096442054,29.855094278725556,0.469419150491874
P00_rsbfilm_scalar_Pcyc,2,double-line,15,1.009190831308104,27.359365012834033,0.33983334458806014
P00_rsbfilm_scalar_Pcyc,2,line,20,1.0382218209546181,30.509150564717594,0.5036174879605089
P00_rsbfilm_scalar_Pcyc,2,point_cluster,20,1.1099267907566523,33.547293789702934,0.6746408626497904
P00_rsbfilm_scalar_Pcyc,2,small_rect_edge,10,1.0256560463234872,29.479172278033566,0.4474971289809817
P01_rsbfilm_no_Pcyc,0,L-shape,20,0.9804768535529608,28.37893825141456,0.3939967006037077
P01_rsbfilm_no_Pcyc,0,cross,15,0.9814345270203344,30.054830381271483,0.4837281899768832
P01_rsbfilm_no_Pcyc,0,double-line,15,0.978501959836387,27.493015651393605,0.3488127873620253
P01_rsbfilm_no_Pcyc,0,line,20,0.9854806083251549,30.73320121305909,0.5194142627973327
P01_rsbfilm_no_Pcyc,0,point_cluster,20,1.004038028465158,33.97680699449618,0.6981914301425821
P01_rsbfilm_no_Pcyc,0,small_rect_edge,10,0.9863731790712862,29.648819097821104,0.46110551360903484
P01_rsbfilm_no_Pcyc,1,L-shape,20,3.3242859785277403,23.588965170060582,0.18416636895411084
P01_rsbfilm_no_Pcyc,1,cross,15,5.301178583083861,23.5395602687769,0.18358615130769032
P01_rsbfilm_no_Pcyc,1,double-line,15,3.1557989336692693,23.364433795273655,0.20363142154488167
P01_rsbfilm_no_Pcyc,1,line,20,5.207459296775716,24.542472245112638,0.22317218308608017
P01_rsbfilm_no_Pcyc,1,point_cluster,20,13.031006493343407,23.59016484478149,0.13384863105564987
P01_rsbfilm_no_Pcyc,1,small_rect_edge,10,4.158075976719326,24.17490557364906,0.18881537021332
P01_rsbfilm_no_Pcyc,2,L-shape,20,0.9915826129091408,28.329973567880717,0.37720363413903335
P01_rsbfilm_no_Pcyc,2,cross,15,0.9923996076365833,30.00651975095877,0.4710076074131281
P01_rsbfilm_no_Pcyc,2,double-line,15,0.9931498333081942,27.42833749686813,0.32767097818928537
P01_rsbfilm_no_Pcyc,2,line,20,0.9930041161865975,30.699757024780034,0.5092913173605558
P01_rsbfilm_no_Pcyc,2,point_cluster,20,0.9959168715683004,34.011113552194935,0.7005134975669502
P01_rsbfilm_no_Pcyc,2,small_rect_edge,10,0.9921364971856759,29.623424005178453,0.4507651300159769
P02_rsbfilm_sincos_Pcyc,0,L-shape,20,1.0070762099732007,28.26284687718288,0.3800495144759343
P02_rsbfilm_sincos_Pcyc,0,cross,15,1.0132653829886713,29.916581927913935,0.47229966489484015
P02_rsbfilm_sincos_Pcyc,0,double-line,15,1.004769568353091,27.377979167588876,0.33311283812437126
P02_rsbfilm_sincos_Pcyc,0,line,20,1.019047672544811,30.58821481815835,0.5075786229145228
P02_rsbfilm_sincos_Pcyc,0,point_cluster,20,1.0610339687052908,33.73847696836705,0.6885764180658699
