variant,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample
P00_rsbfilm_scalar_Pcyc,0,line_test_0000,line,0.9994731870458061,30.84330234752137,0.5185031416447826,0.001130868447944522,0.04232051700819284
P00_rsbfilm_scalar_Pcyc,0,line_test_0001,line,0.9937632449351432,25.93739505517894,0.2479475443268936,0.0032148202881217003,0.0024063629971351475
P00_rsbfilm_scalar_Pcyc,0,line_test_0002,line,0.9969293380588802,30.215656373771328,0.48266154674076395,0.0013158736983314157,0.002331178999156691
P00_rsbfilm_scalar_Pcyc,0,line_test_0003,line,0.9970255136059331,33.924052467155605,0.6910054743736787,0.0008140908903442323,0.0023173379886429757
P00_rsbfilm_scalar_Pcyc,0,line_test_0004,line,1.004498780640425,36.61891233398088,0.804931633780717,0.0003383228904567659,0.0022951549908611923
P00_rsbfilm_scalar_Pcyc,0,line_test_0005,line,1.0003721404937422,32.41539489419032,0.6095526088441549,0.0007688305340707302,0.0023626129986951128
P00_rsbfilm_scalar_Pcyc,0,line_test_0006,line,1.0043682070769966,31.580111610352812,0.5631225202271904,0.0010429344838485122,0.0022833780094515532
P00_rsbfilm_scalar_Pcyc,0,line_test_0007,line,0.998512829794766,29.795365886747994,0.46793321749080297,0.0012579637113958597,0.0022909670078661293
P00_rsbfilm_scalar_Pcyc,0,line_test_0008,line,0.9968307087194923,25.834531674826643,0.24186971405836433,0.0029677660204470158,0.002309461997356266
P00_rsbfilm_scalar_Pcyc,0,line_test_0009,line,0.9929538191098433,30.237529418860433,0.48554939878667497,0.0012209692504256964,0.0018903349991887808
P00_rsbfilm_scalar_Pcyc,0,line_test_0010,line,1.0017677887429166,32.41200465642261,0.6089598067784188,0.0008445248822681606,0.00196226300613489
P00_rsbfilm_scalar_Pcyc,0,line_test_0011,line,1.0026788965629636,27.73527058397284,0.33906019998627895,0.0020407994743436575,0.0019093209994025528
P00_rsbfilm_scalar_Pcyc,0,line_test_0012,line,0.9958357435155862,29.70004234595633,0.4534242847063235,0.0013714322121813893,0.0019136220071231946
P00_rsbfilm_scalar_Pcyc,0,line_test_0013,line,0.9986537569831426,27.019586090988394,0.3195497869311496,0.002254441613331437,0.0019042880012420937
