epoch,train_l1
1,0.0308535710349679
2,0.01397157005034387
3,0.01250816319603473
4,0.008401309573091566
5,0.005372518808580935
6,0.004625198733992875
7,0.004222713944036513
8,0.003964274860918522
9,0.0037458375096321105
10,0.0035289053851738574
11,0.0032956888107582927
12,0.0030420834268443287
13,0.0029684192268177867
14,0.0028761482634581627
15,0.00281884495401755
16,0.0026631201046984645
17,0.002560844012768939
18,0.0024997808889020232
19,0.00237248002551496
20,0.0022492288216017188
21,0.002391056420747191
22,0.0023763490980491042
23,0.0023448381805792453
24,0.0022258677100762724
25,0.002169030992081389
26,0.0021620808984152973
27,0.002181517583085224
28,0.002124177395598963
29,0.0020932831021491438
30,0.002069547768915072
31,0.0019099341111723333
32,0.001948350741295144
33,0.002023170265601948
34,0.001961819521384314
35,0.0019440343859605492
36,0.0018595078960061072
37,0.0019970779039431364
38,0.0018433781358180568
39,0.001901390936691314
40,0.0017537338798865676
41,0.0017358412104658784
42,0.0017765964253339916
43,0.0018590520066209138
44,0.0018723743583541363
45,0.0018088543112389744
46,0.002058008280582726
47,0.0018275066534988581
48,0.0018275266920682043
49,0.001771726852748543
50,0.0017360883386572823
