epoch,train_l1
1,0.03085481872782111
2,0.014122544834390283
3,0.012643935428932308
4,0.011637425161898135
5,0.006757242749445141
6,0.00477932789362967
7,0.004246240896172822
8,0.003882773336954415
9,0.0036059316294267773
10,0.0033566513517871498
11,0.003114887431729585
12,0.0030201786034740508
13,0.003047942272387445
14,0.0029531122697517274
15,0.002717696554027498
16,0.0026376339700073005
17,0.002559498674236238
18,0.0024912558798678218
19,0.0024293482210487128
20,0.0023848531185649336
21,0.002365022689336911
22,0.002272231567185372
23,0.00225447534583509
24,0.002166608429979533
25,0.00211411522119306
26,0.0021100026823114605
27,0.002050952645950019
28,0.0020493242389056834
29,0.001906773957889527
30,0.002011866883840412
31,0.0019646094320341944
32,0.001895350645063445
33,0.002004981783684343
34,0.0021012011962011456
35,0.0020661307161208243
36,0.002019341951236129
37,0.001964634699979797
38,0.0018682418705429883
39,0.0018043599266093224
40,0.0018820035085082053
41,0.0018424089311156423
42,0.0018010672891978175
43,0.0018302132200915366
44,0.0018203159689437597
45,0.0017619104287587106
46,0.0018576492252759635
47,0.0018609312362968921
48,0.0018220889463555067
49,0.0019080524740274995
50,0.001715164789929986
